"MOD_NAME","ITM_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML"
"ASSAY_DEV_CATALOG","QUANTITY_UNITS","Quantity Units","CHAR","100",NA
"ASSAY_DEV_CATALOG","RATIO_260_280","Ratio 260 280","NUMBER","12","4"
"ASSAY_DEV_CATALOG","RIN","RIN","NUMBER","12","4"
"ASSAY_DEV_CATALOG","SPECIMEN_NO","Specimen Number","CHAR","10",NA
"ASSAY_DEV_CATALOG","TYPE","Type","CHAR","100",NA
"ASSAY_DEV_CATALOG","COHORT","Cohort at Participant Creation","NUMBER","12","0"
"ASSAY_DEV_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ","Addition Stock Available upon Request","CHAR","10",NA
"AVCNSNT","","Early Imaging Documentation of Informed Consent","","",NA
"AVCNSNT","AVCNSTDISC","Informed consent was discussed with participant and/or legally authorized representative for the PPMI Early Imaging study.","NUMBER","1",NA
"AVCNSNT","CNO","Site Number","NUMBER","12","0"
"AVCNSNT","CNSTAUTH","Informed consent obtained by person authorized on site delegation log.","NUMBER","1",NA
"AVCNSNT","CNSTCOPY","Copy of the consent form was provided to the participant and/or legally authorized representative upon conclusion of the consent process.","NUMBER","1",NA
"AVCNSNT","CNSTFORM","Consent form was provided to the participant and/or legally authorized representative for review.","NUMBER","1",NA
"AVCNSNT","CNSTPRIR","Consent has been signed prior to any study procedures being performed.","NUMBER","1",NA
"AVCNSNT","CNSTQA","During the informed consent process, the participant and/or authorized representative had the opportunity to ask questions and receive answers by study personnel.","NUMBER","1",NA
"AVCNSNT","CNSTTIME","Participant and/or legally authorized representative were given adequate time to read the consent form and discuss the study with study staff and/or person of participant's choice.","NUMBER","1",NA
"AVCNSNT","EVENT_ID","Visit ID","CHAR","3",NA
"AVCNSNT","INFODT","Assessment Date","DATE","",NA
"AVCNSNT","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVCNSNT","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVCNSNT","PAG_NAME","Page Name","CHAR","12",NA
"AVCNSNT","PATNO","Participant ID","NUMBER","18","0"
"AVCNSNT","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVCNSNT","REC_ID","Record ID","CHAR","36",NA
"AVCNSNT","SIGNCNST","Participant and/or legally authorized representative signed and dated the informed consent.","NUMBER","1",NA
"AVCONCL","","Early Imaging Conclusion of Study Participation","","",NA
"AVCONCL","CNO","Site Number","NUMBER","12","0"
"AVCONCL","EVENT_ID","Visit ID","CHAR","3",NA
"AVCONCL","INFODT","Assessment Date","DATE","",NA
"AVCONCL","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVCONCL","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVCONCL","PAG_NAME","Page Name","CHAR","12",NA
"AVCONCL","PATNO","Participant ID","NUMBER","18","0"
"AVCONCL","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVCONCL","REC_ID","Record ID","CHAR","36",NA
"AVCONCL","WDDT","Withdrawal date","DATE","",NA
"AVCONCL","WDRSN","Reason for withdrawal","NUMBER","12","0"
"AVCONCL","WDRSNCM","Other reason for withdrawal comment","CHAR","",NA
"AVCONCL","WDRSNPD","Did increasing PD disability contribute to the decision to withdraw from PPMI Early Imaging?","NUMBER","1",NA
"AVELIG","","Early Imaging Eligibility","","",NA
"AVELIG","AVCNSTDT","AV-133 Informed consent date","DATE","",NA
"AVELIG","CNO","Site Number","NUMBER","12","0"
"AVELIG","EVENT_ID","Visit ID","CHAR","3",NA
"AVELIG","EXABCOND","Any other medical or psychiatric condition or lab abnormality, which in the opinion of the investigator might preclude participation","NUMBER","1",NA
"AVELIG","EXAVRX1MO","Received any of the following medications that might interfere with 18F-AV-133 PET imaging: tetrabenazine (TBZ) or methylphenidate, reserpine, or amphetamine derivative, within 1 month prior to the Screening 18F-AV-133 injection.","NUMBER","1",NA
"AVELIG","EXCARDDX","Have current clinically significant cardiovascular disease or abnormalities on screening ECG (including but not limited to QTc > 450 msec)","NUMBER","1",NA
"AVELIG","EXRXQTPRO","Are currently taking medications that are known to cause QT-prolongation","NUMBER","1",NA
"AVELIG","INCNST","Able to provide informed consent","NUMBER","1",NA
"AVELIG","INEX1","Inclusion Exclusion question 1","CHAR","1",NA
"AVELIG","INFODT","Assessment Date","DATE","",NA
"AVELIG","INPPMI2","Enrolled in PPMI Clinical protocol","NUMBER","1",NA
"AVELIG","INPREGNT","Women may not be pregnant, lactating or planning pregnancy during the study","NUMBER","1",NA
"AVELIG","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVELIG","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVELIG","PAG_NAME","Page Name","CHAR","12",NA
"AVELIG","PATNO","Participant ID","NUMBER","18","0"
"AVELIG","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVELIG","REC_ID","Record ID","CHAR","36",NA
"AVELIG","SIGNCNST","Signed Consent","CHAR","1",NA
"AVIMAG","","Early Imaging AV-133 Imaging","","",NA
"AVIMAG","CNO","Site Number","NUMBER","12","0"
"AVIMAG","DIASUPAF","Supine BP - diastolic - after injection (mmHg)","NUMBER","12","0"
"AVIMAG","DIASUPBF","Supine BP - diastolic - before injection (mmHg)","NUMBER","12","0"
"AVIMAG","EVENT_ID","Visit ID","CHAR","3",NA
"AVIMAG","HRSUPAF","Supine heart rate - after injection (bpm)","NUMBER","12","0"
"AVIMAG","HRSUPBF","Supine heart rate - before injection (bpm)","NUMBER","12","0"
"AVIMAG","INFODT","Assessment Date","DATE","",NA
"AVIMAG","INJECTTM","Time of Injection","TIME","",NA
"AVIMAG","INVEVLAF","Study physician able to evaluate after injection","NUMBER","1",NA
"AVIMAG","INVEVLAFCM","Study physician not able to evaluate after injection comment","CHAR","",NA
"AVIMAG","INVEVLBF","Study physician able to evaluate before injection","NUMBER","1",NA
"AVIMAG","INVEVLBFCM","Study physician not able to evaluate before injection comment","CHAR","",NA
"AVIMAG","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVIMAG","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVIMAG","PAG_NAME","Page Name","CHAR","12",NA
"AVIMAG","PATNO","Participant ID","NUMBER","18","0"
"AVIMAG","PETCMPLT","AV-133 PET scan completed?","NUMBER","1",NA
"AVIMAG","PETCMPLTCM","AV-133 PET scan not completed comment","CHAR","",NA
"AVIMAG","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVIMAG","REC_ID","Record ID","CHAR","36",NA
"AVIMAG","SYSSUPAF","Supine BP - systolic - after injection (mmHg)","NUMBER","12","0"
"AVIMAG","SYSSUPBF","Supine BP - systolic - before injection (mmHg)","NUMBER","12","0"
"AVIMAG","VITLTMAF","Vital Sign Time - after injection","TIME","",NA
"AVIMAG","VITLTMBF","Vital Sign Time - before injection","TIME","",NA
"AVIMAG","VMATRSLT","VMAT-2 PET Interpretation Report","CHAR","1",NA
"AVPREGNANC","","Early Imaging Pregnancy Test","","",NA
"AVPREGNANC","CNO","Site Number","NUMBER","12","0"
"AVPREGNANC","EVENT_ID","Visit ID","CHAR","3",NA
"AVPREGNANC","INFODT","Assessment Date","DATE","",NA
"AVPREGNANC","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVPREGNANC","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVPREGNANC","PAG_NAME","Page Name","CHAR","12",NA
"AVPREGNANC","PATNO","Participant ID","NUMBER","18","0"
"AVPREGNANC","PREGAPPL","Participant is a female of childbearing potential","NUMBER","1",NA
"AVPREGNANC","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVPREGNANC","REC_ID","Record ID","CHAR","36",NA
"AVPREGNANC","SPRGCNNEGBF","Serum pregnancy result confirmed negative prior to Baseline 18F-AV-133 injection","NUMBER","12","0"
"AVPREGNANC","UPREGPRF","Urine pregnancy test performed","NUMBER","1",NA
"AVPREGNANC","UPREGPRFCM","Urine pregnancy test not completed comment","CHAR","",NA
"AVPREGNANC","UPRGCNBF","Urine pregnancy result confirmed prior to 18F-AV-133 injection","NUMBER","12","0"
"AVPREGNANC","UPRGCNBFCM","No urine pregnancy result confirmed prior to 18F-AV-133 injection comment","CHAR","",NA
"AVPREGNANC","UPRGRSLT","Urine pregnancy test result","NUMBER","1",NA
"AVREPPREG","","Early Imaging Report of Pregnancy","","",NA
"AVREPPREG","CNO","Site Number","NUMBER","12","0"
"AVREPPREG","EVENT_ID","Visit ID","CHAR","3",NA
"AVREPPREG","INFODT","Assessment Date","DATE","",NA
"AVREPPREG","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVREPPREG","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVREPPREG","PAG_NAME","Page Name","CHAR","12",NA
"AVREPPREG","PATNO","Participant ID","NUMBER","18","0"
"AVREPPREG","PREG30AV","Pregnancy within 30 days of AV-133 injection?","NUMBER","12","0"
"AVREPPREG","PREGWHO","Participant or participant partner is pregnant?","NUMBER","12","0"
"AVREPPREG","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVREPPREG","REC_ID","Record ID","CHAR","36",NA
"AVSCRNFAIL","","Early Imaging Screen Fail","","",NA
"AVSCRNFAIL","CNO","Site Number","NUMBER","12","0"
"AVSCRNFAIL","EVENT_ID","Visit ID","CHAR","3",NA
"AVSCRNFAIL","INFODT","Assessment Date","DATE","",NA
"AVSCRNFAIL","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVSCRNFAIL","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVSCRNFAIL","PAG_NAME","Page Name","CHAR","12",NA
"AVSCRNFAIL","PATNO","Participant ID","NUMBER","18","0"
"AVSCRNFAIL","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVSCRNFAIL","REC_ID","Record ID","CHAR","36",NA
"AVSCRNFAIL","RSNDEC","Reason for Declining","NUMBER","12","0"
"AVSCRNFAIL","SCFAILRSN","Reason for screen fail","NUMBER","12","0"
"AVTEL","","Early Imaging Adverse Event Telephone Assessment","","",NA
"AVTEL","AVCONDCTVIS","Was an LP, skin biopsy, or DaTscan or AV-133 imaging scan conducted at this visit?","NUMBER","1",NA
"AVTEL","CNO","Site Number","NUMBER","12","0"
"AVTEL","CNTACTYN","Was contact made","NUMBER","1",NA
"AVTEL","CNTRSN","Reason for no contact","NUMBER","12","0"
"AVTEL","CNTRSNCM","Reason for no contact comment","CHAR","",NA
"AVTEL","EVENT_ID","Visit ID","CHAR","3",NA
"AVTEL","INFODT","Assessment Date","DATE","",NA
"AVTEL","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"AVTEL","ORIG_ENTRY","Date of original data entry","DATE","",NA
"AVTEL","PAG_NAME","Page Name","CHAR","12",NA
"AVTEL","PATNO","Participant ID","NUMBER","18","0"
"AVTEL","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"AVTEL","REC_ID","Record ID","CHAR","36",NA
"AVTEL","TELAERPT","AE reported","NUMBER","1",NA
"Biospecimen_Analysis","CLINICAL_EVENT","Clinical Event","CHAR","20",NA
"Biospecimen_Analysis","DIAGNOSIS","Appropriate Diagnosis","CHAR","1",NA
"Biospecimen_Analysis","GENDER","Gender","CHAR","8",NA
"Biospecimen_Analysis","PATNO","Patient Number","CHAR","8",NA
"Biospecimen_Analysis","PI_INSTITUTION","Name of PI Instituion","CHAR","64",NA
"Biospecimen_Analysis","PI_NAME","Name of Project PI","CHAR","64",NA
"Biospecimen_Analysis","PROJECTID","Project ID for Analysis","NUMBER","8","0"
"Biospecimen_Analysis","RUNDATE","Run Date of Test","DATE","",NA
"Biospecimen_Analysis","TESTNAME","Test Type","CHAR","36",NA
"Biospecimen_Analysis","TESTVALUE","Test Value","CHAR","36",NA
"Biospecimen_Analysis","TYPE","Sample Type","CHAR","36",NA
"Biospecimen_Analysis","UNITS","Units of Measure","CHAR","8",NA
"Biospecimen_Analysis","","Biospecimin testing results","","",NA
"BIOSPECIMEN_BRAIN_CATALOG","ALIAS_ID","PATIENT NUMBER","NUMBER","6","0"
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","BRAIN REGION","CHAR","2",NA
"BIOSPECIMEN_BRAIN_CATALOG","CLINICAL_EVENT","CLINICAL EVENT (AUT)","CHAR","5",NA
"BIOSPECIMEN_BRAIN_CATALOG","CUSTODIAL_DOMAIN","CUSTODIAL DOMAIN ","CHAR","50",NA
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","EXTRACTION PROTOCOL","CHAR","1",NA
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","BRAIN HEMISPHERE","CHAR","1",NA
"BIOSPECIMEN_BRAIN_CATALOG","PREPARATION","PREPARATION METHOD","CHAR","1",NA
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY","QUANTITY ","NUMBER","6","0"
"BIOSPECIMEN_BRAIN_CATALOG","QUANTITY_UNITS","QUANTITY UNITS","NUMBER","2","0"
"BIOSPECIMEN_BRAIN_CATALOG","SPECIMEN_NO","SPECIMEN NUMBER","NUMBER","50","0"
"BIOSPECIMEN_BRAIN_CATALOG","TYPE","SPECIMEN TYPE","CHAR","20",NA
"BIOSPECIMEN_BRAIN_CATALOG","","Catalog of Postmortem Brain Samples","","",NA
"BIOSPECIMEN_CELL_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ","Addition Stock Available upon Request","CHAR","10",NA
"BIOSPECIMEN_CELL_CATALOG","ALIAS_ID","Patient Number","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","CELLS_PER_CONTAINER","Cells per Container","NUMBER","10","0"
"BIOSPECIMEN_CELL_CATALOG","CELL_LINE_NAME","Cell Line Name","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","CELL_TYPE","Cell Type","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","CLINICAL_EVENT","Event Name","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","CLONE","Clone Number","NUMBER","3","0"
"BIOSPECIMEN_CELL_CATALOG","CMA_CALLS","Chromosome Microarray Analysis Calls","CHAR","0",NA
"BIOSPECIMEN_CELL_CATALOG","CMA_INTERPRETATION","Chromosome Microarray Analysis Interpretation","CHAR","0",NA
"BIOSPECIMEN_CELL_CATALOG","CUSTODIAL_DOMAIN","Custodial Domain","CHAR","20",NA
"BIOSPECIMEN_CELL_CATALOG","FREEZING_MEDIA","Freezing Media","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","IDENTITY_TEST","Identity Test Result","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE","Karotype Result","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE_PROCEDURE","Karotype Procedure","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","MYCOPLASMA","Mycoplasma Result","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","NONCONFORMANCE","Nonconformance Reason","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","NUM_AVAILABLE","Num Aliquots Available","NUMBER","4","0"
"BIOSPECIMEN_CELL_CATALOG","PARENT_CELL_TYPE","Parent Cell Type","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","PARENT_SPECIMEN_ID","Parent Specimen ID","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","PASSAGE_NUMBER_AT_FREEZE","Passage Number at Freeze","NUMBER","3","0"
"BIOSPECIMEN_CELL_CATALOG","PLURIPOTENCY","Pluripotency Result","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","QUANTITY","Quantity","NUMBER","12","4"
"BIOSPECIMEN_CELL_CATALOG","QUANTITY_UNITS","Quantity Units","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","REPROGRAMMING_METHOD","Reprogramming Method","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","SPECIMEN_NO","Specimen Number","NUMBER","6","0"
"BIOSPECIMEN_CELL_CATALOG","STERILITY_TEST","Sterility Test Result","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","TYPE","Type","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","VENDOR","Cell Line Creator","CHAR","100",NA
"BIOSPECIMEN_CELL_CATALOG","","Metadata of available ISUM Cell lines","","",NA
"BIOSPECIMEN_SLIDE_CATALOG","AUTOPSY SITE","SITE NAME","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","BRAIN REGION","CHAR","2",NA
"BIOSPECIMEN_SLIDE_CATALOG","FILE TYPE","WHOLE SLIDE IMAGE FILE TYPE","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","FILENAME","IMAGE FILE NAME","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","HEMISPHERE","HEMISPHERE","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","PATNO","PATIENT  NUMBER","NUMBER","6","0"
"BIOSPECIMEN_SLIDE_CATALOG","RESOLUTION","WHOLE SLIDE IMAGE RESOLUTION ","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","SCANNER","WHOLE SLIDE IMAGE SCANNER NAME","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","STAIN","CHAR","1",NA
"BIOSPECIMEN_SLIDE_CATALOG","","Catalog of Postmortem Brain pathology slides","","",NA
"CAFFEINE_ONL","","Caffeine Consumption","",NA,NA
"CAFFEINE_ONL","LOADED_AT","Time the record was ingested/updated in the data warehouse","TIMESTAMP",NA,NA
"CAFFEINE_ONL","RESPONDENT_ID","SurveyMonkey unique response ID","NUMBER","18","0"
"CAFFEINE_ONL","MOD_INSTANCE_ID","Instrument instance ID","NUMBER","18","0"
"CAFFEINE_ONL","PATNO","Participant ID","NUMBER","18","0"
"CAFFEINE_ONL","RESPONSE_STATUS","Completeness of the survey response (complete or partial)","NUMBER","1","0"
"CAFFEINE_ONL","CREATED_AT","Time the response was created","TIMESTAMP",NA,NA
"CAFFEINE_ONL","MODIFIED_AT","Time the response was modified","TIMESTAMP",NA,NA
"CAFFEINE_ONL","EVENT_ID","Visit ID","CHAR","4",NA
"CAFFEINE_ONL","CAFFEINE_SOURCE_OL","Primary source of information","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_COFFEE_REG_IN_LIFE_OL"," Ever regularly drank caffeinated coffee (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_COFFEE_START_AGE_OL","Age first started regularly drinking caffeinated coffee","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_COFFEE_CURR_OL","Currently regularly drink caffeinated coffee","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_LAST_AGE_OL","Age last regularly drank caffeinated coffee","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_COFFEE_PER_WEEK_OL","Cups per week when drank caffeinated coffee regularly","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_BLACK_REG_IN_LIFE_OL"," Ever regularly drank caffeinated black tea (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_BLACK_START_AGE_OL","Age first started regularly drinking caffeinated black tea","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_BLACK_CURR_OL","Currently regularly drink caffeinated black tea","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_BLACK_LAST_AGE_OL","Age last regularly drank caffeinated black tea","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_BLACK_PER_WEEK_OL","Cups per week when drank caffeinated black tea regularly","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_GREEN_REG_IN_LIFE_OL"," Ever regularly drank caffeinated green tea (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_GREEN_START_AGE_OL","Age first started regularly drinking caffeinated green tea","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_GREEN_CURR_OL","Currently regularly drink caffeinated green tea","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_GREEN_LAST_AGE_OL","Age last regularly drank caffeinated green tea","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_GREEN_PER_WEEK_OL","Cups per week when drank caffeinated green tea regularly","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_REGSODA_REG_IN_LIFE_OL","Ever regularly drank caffeinated regular soda (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_REGSODA_START_AGE_OL","Age first started regularly drinking caffeinated regular soda","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_REGSODA_CURR_OL","Currently regularly drink caffeinated regular soda","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_REGSODA_LAST_AGE_OL","Age last regularly drank caffeinated regular soda","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_REGSODA_PER_WEEK_OL","Cups per week when drank caffeinated regular soda regularly","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_DIETSODA_REG_IN_LIFE_OL","Ever regularly drank caffeinated diet soda (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_DIETSODA_START_AGE_OL","Age first started regularly drinking caffeinated diet soda","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_DIETSODA_CURR_OL","Currently regularly drink caffeinated diet soda","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_DIETSODA_LAST_AGE_OL","Age last regularly drank caffeinated diet soda","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_DIETSODA_PER_WEEK_OL","Cups per week when drank caffeinated diet soda regularly","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_ENERGY_REG_IN_LIFE_OL","Ever regularly drank caffeinated energy drinks or products (at least once per week for 6 months or longer)","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_ENERGY_START_AGE_OL","Age first started regularly drinking caffeinated energy drinks or products","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_ENERGY_CURR_OL","Currently regularly drink caffeinated energy drinks or products","NUMBER","1","0"
"CAFFEINE_ONL","CAFFEINE_ENERGY_LAST_AGE_OL","Age last regularly drank caffeinated energy drinks or products","NUMBER","3","0"
"CAFFEINE_ONL","CAFFEINE_ENERGY_PER_WEEK_OL","Cups per week when drank caffeinated energy drinks or products regularly","NUMBER","3","0"
"CLCKDRAW","","Clock Drawing","","",NA
"CLCKDRAW","CLCK2HND","Time - exactly 2 hands","NUMBER","12","0"
"CLCKDRAW","CLCKALNU","Number - all 1-12 present","NUMBER","12","0"
"CLCKDRAW","CLCKNMRK","Time - absence of marks","NUMBER","12","0"
"CLCKDRAW","CLCKNUED","Spacing - numbers equally spaced from edge","NUMBER","12","0"
"CLCKDRAW","CLCKNUIN","Number - numbers inside","NUMBER","12","0"
"CLCKDRAW","CLCKNUSP","Spacing - numbers equally spaced from each other","NUMBER","12","0"
"CLCKDRAW","CLCKPII","Time - one hand points to 2","NUMBER","12","0"
"CLCKDRAW","CLCKTOT","Clock Drawing Total Score","NUMBER","12","0"
"CLCKDRAW","CNO","Site Number","NUMBER","12","0"
"CLCKDRAW","EVENT_ID","Visit ID","CHAR","3",NA
"CLCKDRAW","INFODT","Assessment Date","DATE","",NA
"CLCKDRAW","LAST_UPDATE","Date of most recent update to record","TIMESTAMP","",NA
"CLCKDRAW","ORIG_ENTRY","Date of original data entry","DATE","",NA
"CLCKDRAW","PAG_NAME","Page Name","CHAR","12",NA
"CLCKDRAW","PATNO","Participant ID","NUMBER","18","0"
"CLCKDRAW","QUERY","Any open/pending queries on this record","NUMBER","1",NA
"CLCKDRAW","REC_ID","Record ID","CHAR","36",NA
"CLINLAB","","Clinical Labs","","",NA
"CLINLAB","BLDLAB","Blood for clinical labs","NUMBER","1",NA
"CLINLAB","BLDLABCM","Blood for clinical labs not collected comment","CHAR","",NA
"CLINLAB","BLDSHPDT","Date shipped to central lab","DATE","",NA
"CLINLAB","CNO","Site Number","NUMBER","12","0"
